n: 6, k: 1000, t: 700
Entropy, Sampling, Jensen, Exact
1.5069839924174184, -0.00012838697243195562, -0.0001215028291850655, -0.00012140757375861433
1.2369405678840153, -0.00010815757354427544, -0.0001106510506427227, -0.00011061016023368214
0.9048291782386776, -0.0006222461843534991, -0.0006194424692749852, -0.0006192337733080658
1.4149390888826698, -0.00032056610113421845, -0.000275692754713206, -0.0002755035096144637
1.437124347389764, -0.0001221112705150716, -0.00012123303919768626, -0.00012112002035391547
1.2314032355244457, -0.0002328785201079419, -0.00024958009172811876, -0.0002494436831928849
1.0704117329853746, -6.22320201762657e-05, -7.42897767816895e-05, -7.419444304377978e-05
1.2578334542912193, -6.473920440651087e-05, -6.296197759331143e-05, -6.294690665055153e-05
1.3989628572569008, -0.00047206311010809863, -0.0004644661321041249, -0.0004640730402511996
1.4644135385494461, -0.00024825430417509223, -0.0002875040724562492, -0.0002871956195314725
1.5085084630124284, -0.0006274037031325173, -0.0005992537506634846, -0.0005986602441717641
1.2368917959715002, -0.00028131760124951817, -0.0002634210085519196, -0.00026299220444045565
1.3081916460080694, -0.00016984219260116556, -0.00017856242535316507, -0.0001784473287666385
1.4880020157725091, -0.0001977186204384828, -0.00022426943537659838, -0.00022410499792494158
1.687624235025196, -0.0001699895853252566, -0.00016368419998827641, -0.00016354641279150056
1.3007613179192672, -0.0006185646419944251, -0.0006317172578519223, -0.0006310811773558576
1.5831314342006593, -0.0001029172966163151, -9.455227833778893e-05, -9.449929615032802e-05
1.4244426278355753, -0.0005583118583580622, -0.0005637759749663496, -0.0005631203184248625
1.6160345434652834, -7.077977994039773e-05, -8.164328580563285e-05, -8.160995832528302e-05
1.441115296164738, -0.00016991063447671003, -0.0001493501259077091, -0.00014914903699529136
1.417069944153142, -0.0002574994241458114, -0.00025998158649964237, -0.0002598415041093903
1.4031906488249788, -0.00013969264717876483, -0.0001598022549546962, -0.00015968916772378952
1.2703357533891075, -7.787594442555037e-05, -7.387297921652776e-05, -7.384076172430727e-05
1.3719658615352692, -0.00010536164392394823, -0.00011358012422755636, -0.0001135331113757372
1.1095896578659357, -0.00010141316579195078, -0.00010960618146583259, -0.00010953131945569553
1.424124324719747, -0.00025183669062058743, -0.0002468149938408242, -0.0002465824194702398
1.2646563972250986, -0.0002952236457112185, -0.00028383784138887665, -0.00028368036809848406
1.4786233303419012, -0.00017737412550639166, -0.00017407832050874778, -0.00017394031119132066
1.6444851263437072, -0.00016214455381661916, -0.0001575313259521983, -0.0001573920564230004
1.614063643425814, -0.00011014516130664366, -0.00011319151648784848, -0.00011313900723080747
1.297827159816521, -0.00012476239419806153, -0.00012370609896870553, -0.0001236221179820819
1.5293977464174136, -0.0002567664772759394, -0.0002466561427281868, -0.00024642283631937085
1.4263906534182647, -0.00019343347678563033, -0.0001768343849981897, -0.00017673253897545257
1.4490421923500865, -0.00015945496850681794, -0.00015327314409079045, -0.00015320781018794292
1.2637263734132256, -0.00014128238950969786, -0.00014250015315723705, -0.0001424063752757195
1.5920569800320046, -0.00030788618050242854, -0.00031329068709534376, -0.0003128802466393026
1.4880873031585005, -0.00027325738962632117, -0.0002819787730485399, -0.0002816907674989416
1.4254736021216647, -0.00013721202506161674, -0.00013729202171243555, -0.0001371760882205233
1.5685377392637971, -0.00020353994692037884, -0.00021941939248948503, -0.000219260919113816
1.6092195312815845, -0.00028958607514586673, -0.00029478045504816865, -0.00029427671988943924
1.3631682367095992, -0.00012819192442458283, -0.00013894455089260487, -0.00013881695474691073
